Date : 2024-08-05 23:42:11
Directory : d:\VUILib
Total : 8351 files,  1311962 codes, 161834 comments, 178427 blanks, all 1652223 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |      5,377 |    815,400 |    144,355 |    145,390 |  1,105,145 |
| JSON               |        413 |    168,153 |          0 |        138 |    168,291 |
| JSON with Comments |          5 |     85,846 |          0 |          3 |     85,849 |
| GLSL               |        891 |     54,793 |          2 |      1,489 |     56,284 |
| C                  |         72 |     32,336 |      3,880 |      6,082 |     42,298 |
| JavaScript         |        110 |     22,874 |      2,285 |      3,548 |     28,707 |
| XML                |         78 |     20,194 |        194 |      1,073 |     21,461 |
| Python             |        292 |     18,302 |      2,697 |      4,916 |     25,915 |
| Markdown           |        170 |     16,832 |         16 |      5,939 |     22,787 |
| SkSL               |        601 |     16,067 |      1,488 |      2,003 |     19,558 |
| NASM Assembly      |          4 |     14,869 |          0 |         87 |     14,956 |
| HTML               |         45 |     12,911 |         70 |      1,290 |     14,271 |
| Objective-C++      |         66 |     11,025 |      1,010 |      2,114 |     14,149 |
| Go                 |         37 |      9,625 |      1,371 |      1,287 |     12,283 |
| Java               |         57 |      3,883 |        674 |        886 |      5,443 |
| Objective-C        |          6 |      3,217 |        330 |        751 |      4,298 |
| TypeScript         |         14 |      2,298 |      2,674 |        581 |      5,553 |
| Shell Script       |         43 |      1,229 |        488 |        346 |      2,063 |
| Makefile           |         21 |        378 |         39 |         82 |        499 |
| SCSS               |          1 |        333 |         28 |         93 |        454 |
| Docker             |         18 |        266 |         85 |        100 |        451 |
| Groovy             |          8 |        264 |         36 |         52 |        352 |
| SQL                |          1 |        233 |          4 |         33 |        270 |
| CSS                |          2 |        143 |          3 |         40 |        186 |
| YAML               |          3 |        139 |          0 |         18 |        157 |
| Properties         |          6 |        121 |         13 |         13 |        147 |
| CMake              |          7 |        116 |          0 |         26 |        142 |
| TOML               |          1 |         72 |         77 |         32 |        181 |
| PowerShell         |          1 |         22 |         15 |         12 |         49 |
| DTD                |          1 |         21 |          0 |          3 |         24 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                    |      8,351 |  1,311,962 |    161,834 |    178,427 |  1,652,223 |
| . (Files)                                                                                                                                                                                            |          4 |        213 |          0 |         73 |        286 |
| .idea                                                                                                                                                                                                |          5 |         30 |          0 |          0 |         30 |
| .idea (Files)                                                                                                                                                                                        |          4 |         25 |          0 |          0 |         25 |
| .idea\codeStyles                                                                                                                                                                                     |          1 |          5 |          0 |          0 |          5 |
| demo                                                                                                                                                                                                 |          2 |      1,326 |        158 |        278 |      1,762 |
| demo\TestSkia                                                                                                                                                                                        |          1 |         78 |         45 |         21 |        144 |
| demo\TestSkiaShader                                                                                                                                                                                  |          1 |      1,248 |        113 |        257 |      1,618 |
| include                                                                                                                                                                                              |         27 |      1,369 |      1,891 |        283 |      3,543 |
| include\app                                                                                                                                                                                          |          1 |         12 |         37 |          7 |         56 |
| include\base                                                                                                                                                                                         |         10 |        790 |      1,146 |        156 |      2,092 |
| include\base (Files)                                                                                                                                                                                 |          1 |         21 |         25 |          8 |         54 |
| include\base\binding                                                                                                                                                                                 |          1 |         54 |         78 |         12 |        144 |
| include\base\command                                                                                                                                                                                 |          1 |         24 |         53 |          8 |         85 |
| include\base\event                                                                                                                                                                                   |          1 |        205 |        153 |         30 |        388 |
| include\base\geometry                                                                                                                                                                                |          2 |        242 |        501 |         29 |        772 |
| include\base\message                                                                                                                                                                                 |          1 |         59 |         93 |         18 |        170 |
| include\base\object                                                                                                                                                                                  |          2 |        160 |        201 |         40 |        401 |
| include\base\test                                                                                                                                                                                    |          1 |         25 |         42 |         11 |         78 |
| include\mvvm                                                                                                                                                                                         |          3 |         54 |        120 |         21 |        195 |
| include\renderer                                                                                                                                                                                     |          6 |        333 |        254 |         41 |        628 |
| include\style                                                                                                                                                                                        |          3 |         75 |        128 |         27 |        230 |
| include\widget                                                                                                                                                                                       |          3 |         74 |        148 |         25 |        247 |
| include\window                                                                                                                                                                                       |          1 |         31 |         58 |          6 |         95 |
| readme                                                                                                                                                                                               |          2 |         75 |          0 |          2 |         77 |
| source                                                                                                                                                                                               |         20 |        404 |        506 |        118 |      1,028 |
| source\app                                                                                                                                                                                           |          1 |          7 |         25 |          4 |         36 |
| source\base                                                                                                                                                                                          |          6 |        301 |        150 |         68 |        519 |
| source\base\binding                                                                                                                                                                                  |          1 |          1 |         25 |          4 |         30 |
| source\base\command                                                                                                                                                                                  |          1 |          0 |         25 |          2 |         27 |
| source\base\message                                                                                                                                                                                  |          1 |         11 |         25 |          7 |         43 |
| source\base\object                                                                                                                                                                                   |          2 |        170 |         50 |         26 |        246 |
| source\base\vtest                                                                                                                                                                                    |          1 |        119 |         25 |         29 |        173 |
| source\mvvm                                                                                                                                                                                          |          3 |          1 |         75 |          5 |         81 |
| source\renderer                                                                                                                                                                                      |          5 |         23 |        127 |         14 |        164 |
| source\style                                                                                                                                                                                         |          3 |         14 |         76 |         11 |        101 |
| source\widget                                                                                                                                                                                        |          2 |         58 |         53 |         16 |        127 |
| third                                                                                                                                                                                                |      8,277 |  1,307,619 |    158,907 |    177,395 |  1,643,921 |
| third\SimpleJson                                                                                                                                                                                     |          2 |        901 |         89 |        104 |      1,094 |
| third\SkiaM101Binary                                                                                                                                                                                 |      8,121 |  1,213,542 |    141,173 |    163,367 |  1,518,082 |
| third\SkiaM101Binary (Files)                                                                                                                                                                         |          4 |      3,966 |         20 |         71 |      4,057 |
| third\SkiaM101Binary\bazel                                                                                                                                                                           |          2 |        144 |         30 |         20 |        194 |
| third\SkiaM101Binary\bazel (Files)                                                                                                                                                                   |          1 |         26 |          6 |          3 |         35 |
| third\SkiaM101Binary\bazel\gcs_mirror                                                                                                                                                                |          1 |        118 |         24 |         17 |        159 |
| third\SkiaM101Binary\bench                                                                                                                                                                           |        146 |     24,462 |      1,858 |      3,426 |     29,746 |
| third\SkiaM101Binary\bench (Files)                                                                                                                                                                   |        145 |     24,319 |      1,852 |      3,407 |     29,578 |
| third\SkiaM101Binary\bench\graphite                                                                                                                                                                  |          1 |        143 |          6 |         19 |        168 |
| third\SkiaM101Binary\build                                                                                                                                                                           |          3 |         40 |          0 |         11 |         51 |
| third\SkiaM101Binary\build\fuchsia                                                                                                                                                                   |          3 |         40 |          0 |         11 |         51 |
| third\SkiaM101Binary\build\fuchsia\skqp                                                                                                                                                              |          3 |         40 |          0 |         11 |         51 |
| third\SkiaM101Binary\client_utils                                                                                                                                                                    |          6 |        342 |        147 |        100 |        589 |
| third\SkiaM101Binary\client_utils\android                                                                                                                                                            |          6 |        342 |        147 |        100 |        589 |
| third\SkiaM101Binary\demos.skia.org                                                                                                                                                                  |         23 |      2,158 |         85 |        339 |      2,582 |
| third\SkiaM101Binary\demos.skia.org (Files)                                                                                                                                                          |          1 |          6 |          0 |          1 |          7 |
| third\SkiaM101Binary\demos.skia.org\demos                                                                                                                                                            |         22 |      2,152 |         85 |        338 |      2,575 |
| third\SkiaM101Binary\demos.skia.org\demos\hello_world                                                                                                                                                |          1 |         33 |          0 |          9 |         42 |
| third\SkiaM101Binary\demos.skia.org\demos\image_decode_web_worker                                                                                                                                    |          3 |        123 |          9 |         18 |        150 |
| third\SkiaM101Binary\demos.skia.org\demos\image_sampling                                                                                                                                             |          1 |        120 |          0 |         24 |        144 |
| third\SkiaM101Binary\demos.skia.org\demos\path_performance                                                                                                                                           |          5 |        350 |         23 |         50 |        423 |
| third\SkiaM101Binary\demos.skia.org\demos\sampling_types                                                                                                                                             |          1 |        164 |          0 |         32 |        196 |
| third\SkiaM101Binary\demos.skia.org\demos\spreadsheet                                                                                                                                                |          1 |        227 |          0 |         25 |        252 |
| third\SkiaM101Binary\demos.skia.org\demos\textedit                                                                                                                                                   |          3 |        696 |         44 |         94 |        834 |
| third\SkiaM101Binary\demos.skia.org\demos\textures                                                                                                                                                   |          1 |         72 |          0 |         12 |         84 |
| third\SkiaM101Binary\demos.skia.org\demos\up_scaling                                                                                                                                                 |          1 |        148 |          0 |         36 |        184 |
| third\SkiaM101Binary\demos.skia.org\demos\web_worker                                                                                                                                                 |          4 |        101 |          3 |         18 |        122 |
| third\SkiaM101Binary\demos.skia.org\demos\webgpu                                                                                                                                                     |          1 |        118 |          6 |         20 |        144 |
| third\SkiaM101Binary\dm                                                                                                                                                                              |          6 |      3,806 |        389 |        749 |      4,944 |
| third\SkiaM101Binary\docker                                                                                                                                                                          |          9 |        243 |         43 |         92 |        378 |
| third\SkiaM101Binary\docker (Files)                                                                                                                                                                  |          2 |         71 |          2 |         35 |        108 |
| third\SkiaM101Binary\docker\binary-size                                                                                                                                                              |          1 |         10 |          6 |          9 |         25 |
| third\SkiaM101Binary\docker\cmake-release                                                                                                                                                            |          1 |         22 |          1 |          6 |         29 |
| third\SkiaM101Binary\docker\skia-build-tools                                                                                                                                                         |          1 |         17 |          2 |          3 |         22 |
| third\SkiaM101Binary\docker\skia-release                                                                                                                                                             |          1 |         46 |         11 |         10 |         67 |
| third\SkiaM101Binary\docker\skia-wasm-release                                                                                                                                                        |          1 |         37 |         14 |         21 |         72 |
| third\SkiaM101Binary\docker\skia-with-swift-shader-base                                                                                                                                              |          2 |         40 |          7 |          8 |         55 |
| third\SkiaM101Binary\docs                                                                                                                                                                            |      1,202 |     23,142 |      3,723 |      1,896 |     28,761 |
| third\SkiaM101Binary\docs\examples                                                                                                                                                                   |      1,202 |     23,142 |      3,723 |      1,896 |     28,761 |
| third\SkiaM101Binary\example                                                                                                                                                                         |          2 |        125 |         21 |         39 |        185 |
| third\SkiaM101Binary\experimental                                                                                                                                                                    |        221 |     25,304 |      3,390 |      4,411 |     33,105 |
| third\SkiaM101Binary\experimental\bazel_test                                                                                                                                                         |          2 |         24 |          7 |          9 |         40 |
| third\SkiaM101Binary\experimental\c-api-example                                                                                                                                                      |          2 |        173 |          6 |         40 |        219 |
| third\SkiaM101Binary\experimental\docs                                                                                                                                                               |          9 |      3,000 |          2 |        202 |      3,204 |
| third\SkiaM101Binary\experimental\documentation                                                                                                                                                      |          1 |        106 |          0 |         70 |        176 |
| third\SkiaM101Binary\experimental\ffmpeg                                                                                                                                                             |          4 |        692 |         85 |        164 |        941 |
| third\SkiaM101Binary\experimental\graphite                                                                                                                                                           |        125 |      9,602 |      2,368 |      2,606 |     14,576 |
| third\SkiaM101Binary\experimental\graphite\include                                                                                                                                                   |         10 |        381 |        140 |        147 |        668 |
| third\SkiaM101Binary\experimental\graphite\include (Files)                                                                                                                                           |          7 |        278 |        112 |        109 |        499 |
| third\SkiaM101Binary\experimental\graphite\include\mtl                                                                                                                                               |          2 |         51 |         20 |         23 |         94 |
| third\SkiaM101Binary\experimental\graphite\include\private                                                                                                                                           |          1 |         52 |          8 |         15 |         75 |
| third\SkiaM101Binary\experimental\graphite\src                                                                                                                                                       |        115 |      9,221 |      2,228 |      2,459 |     13,908 |
| third\SkiaM101Binary\experimental\graphite\src (Files)                                                                                                                                               |         82 |      5,646 |      1,701 |      1,681 |      9,028 |
| third\SkiaM101Binary\experimental\graphite\src\geom                                                                                                                                                  |          9 |        664 |        181 |        177 |      1,022 |
| third\SkiaM101Binary\experimental\graphite\src\mtl                                                                                                                                                   |         23 |      2,550 |        273 |        540 |      3,363 |
| third\SkiaM101Binary\experimental\graphite\src\render                                                                                                                                                |          1 |        361 |         73 |         61 |        495 |
| third\SkiaM101Binary\experimental\lowp-basic                                                                                                                                                         |          4 |        325 |         50 |         73 |        448 |
| third\SkiaM101Binary\experimental\minimal_ios_mtl_skia_app                                                                                                                                           |          2 |        119 |         15 |         34 |        168 |
| third\SkiaM101Binary\experimental\sktext                                                                                                                                                             |         31 |      3,461 |        353 |        613 |      4,427 |
| third\SkiaM101Binary\experimental\sktext\editor                                                                                                                                                      |         12 |        780 |         60 |        182 |      1,022 |
| third\SkiaM101Binary\experimental\sktext\include                                                                                                                                                     |          4 |        570 |        166 |        117 |        853 |
| third\SkiaM101Binary\experimental\sktext\samples                                                                                                                                                     |          1 |        155 |          6 |         34 |        195 |
| third\SkiaM101Binary\experimental\sktext\src                                                                                                                                                         |          9 |      1,359 |        109 |        168 |      1,636 |
| third\SkiaM101Binary\experimental\sktext\tests                                                                                                                                                       |          5 |        597 |         12 |        112 |        721 |
| third\SkiaM101Binary\experimental\sorttoy                                                                                                                                                            |          7 |      1,059 |        181 |        323 |      1,563 |
| third\SkiaM101Binary\experimental\tools                                                                                                                                                              |          5 |        574 |         33 |         84 |        691 |
| third\SkiaM101Binary\experimental\tskit                                                                                                                                                              |         23 |      5,972 |        271 |        151 |      6,394 |
| third\SkiaM101Binary\experimental\tskit (Files)                                                                                                                                                      |          6 |      5,339 |          9 |         19 |      5,367 |
| third\SkiaM101Binary\experimental\tskit\bindings                                                                                                                                                     |          6 |        152 |         85 |         45 |        282 |
| third\SkiaM101Binary\experimental\tskit\go                                                                                                                                                           |          4 |        321 |         92 |         51 |        464 |
| third\SkiaM101Binary\experimental\tskit\go\gen_types                                                                                                                                                 |          4 |        321 |         92 |         51 |        464 |
| third\SkiaM101Binary\experimental\tskit\go\gen_types (Files)                                                                                                                                         |          2 |        248 |         28 |         30 |        306 |
| third\SkiaM101Binary\experimental\tskit\go\gen_types\testdata                                                                                                                                        |          2 |         73 |         64 |         21 |        158 |
| third\SkiaM101Binary\experimental\tskit\interface                                                                                                                                                    |          5 |        100 |         36 |         19 |        155 |
| third\SkiaM101Binary\experimental\tskit\npm_build                                                                                                                                                    |          2 |         60 |         49 |         17 |        126 |
| third\SkiaM101Binary\experimental\tskit\npm_build (Files)                                                                                                                                            |          1 |         25 |          0 |          6 |         31 |
| third\SkiaM101Binary\experimental\tskit\npm_build\types                                                                                                                                              |          1 |         35 |         49 |         11 |         95 |
| third\SkiaM101Binary\experimental\wasm-hello-world                                                                                                                                                   |          3 |         29 |          0 |          8 |         37 |
| third\SkiaM101Binary\experimental\webgpu-bazel                                                                                                                                                       |          3 |        168 |         19 |         34 |        221 |
| third\SkiaM101Binary\experimental\webgpu-bazel (Files)                                                                                                                                               |          1 |         14 |          0 |          2 |         16 |
| third\SkiaM101Binary\experimental\webgpu-bazel\example                                                                                                                                               |          1 |         57 |          0 |         13 |         70 |
| third\SkiaM101Binary\experimental\webgpu-bazel\src                                                                                                                                                   |          1 |         97 |         19 |         19 |        135 |
| third\SkiaM101Binary\fuzz                                                                                                                                                                            |         57 |      5,225 |        605 |        676 |      6,506 |
| third\SkiaM101Binary\fuzz (Files)                                                                                                                                                                    |         21 |      4,382 |        341 |        470 |      5,193 |
| third\SkiaM101Binary\fuzz\oss_fuzz                                                                                                                                                                   |         36 |        843 |        264 |        206 |      1,313 |
| third\SkiaM101Binary\gm                                                                                                                                                                              |        423 |     54,342 |      6,356 |     11,157 |     71,855 |
| third\SkiaM101Binary\gm (Files)                                                                                                                                                                      |        421 |     54,175 |      6,269 |     11,083 |     71,527 |
| third\SkiaM101Binary\gm\verifiers                                                                                                                                                                    |          2 |        167 |         87 |         74 |        328 |
| third\SkiaM101Binary\gn                                                                                                                                                                              |         26 |      1,933 |        307 |        421 |      2,661 |
| third\SkiaM101Binary\gn (Files)                                                                                                                                                                      |         25 |      1,930 |        301 |        417 |      2,648 |
| third\SkiaM101Binary\gn\toolchain                                                                                                                                                                    |          1 |          3 |          6 |          4 |         13 |
| third\SkiaM101Binary\include                                                                                                                                                                         |        303 |     35,275 |     23,202 |      9,789 |     68,266 |
| third\SkiaM101Binary\include\android                                                                                                                                                                 |          2 |         91 |        109 |         42 |        242 |
| third\SkiaM101Binary\include\c                                                                                                                                                                       |         13 |        382 |        737 |        183 |      1,302 |
| third\SkiaM101Binary\include\codec                                                                                                                                                                   |          4 |        366 |        863 |        151 |      1,380 |
| third\SkiaM101Binary\include\config                                                                                                                                                                  |          1 |          3 |         71 |         16 |         90 |
| third\SkiaM101Binary\include\core                                                                                                                                                                    |         93 |      8,983 |     14,820 |      3,262 |     27,065 |
| third\SkiaM101Binary\include\docs                                                                                                                                                                    |          2 |         87 |         98 |         40 |        225 |
| third\SkiaM101Binary\include\effects                                                                                                                                                                 |         24 |        971 |        976 |        319 |      2,266 |
| third\SkiaM101Binary\include\encode                                                                                                                                                                  |          4 |        107 |        127 |         56 |        290 |
| third\SkiaM101Binary\include\gpu                                                                                                                                                                     |         36 |      3,062 |      1,683 |        828 |      5,573 |
| third\SkiaM101Binary\include\gpu (Files)                                                                                                                                                             |         15 |      1,663 |      1,167 |        516 |      3,346 |
| third\SkiaM101Binary\include\gpu\d3d                                                                                                                                                                 |          2 |        161 |         82 |         42 |        285 |
| third\SkiaM101Binary\include\gpu\dawn                                                                                                                                                                |          1 |         77 |         10 |          9 |         96 |
| third\SkiaM101Binary\include\gpu\gl                                                                                                                                                                  |         10 |        738 |        232 |        142 |      1,112 |
| third\SkiaM101Binary\include\gpu\gl (Files)                                                                                                                                                          |          8 |        730 |        220 |        132 |      1,082 |
| third\SkiaM101Binary\include\gpu\gl\egl                                                                                                                                                              |          1 |          4 |          6 |          5 |         15 |
| third\SkiaM101Binary\include\gpu\gl\glx                                                                                                                                                              |          1 |          4 |          6 |          5 |         15 |
| third\SkiaM101Binary\include\gpu\mock                                                                                                                                                                |          1 |        101 |         16 |         28 |        145 |
| third\SkiaM101Binary\include\gpu\mtl                                                                                                                                                                 |          2 |         42 |         24 |         20 |         86 |
| third\SkiaM101Binary\include\gpu\vk                                                                                                                                                                  |          5 |        280 |        152 |         71 |        503 |
| third\SkiaM101Binary\include\pathops                                                                                                                                                                 |          1 |         30 |         70 |         14 |        114 |
| third\SkiaM101Binary\include\ports                                                                                                                                                                   |         16 |        389 |        376 |        180 |        945 |
| third\SkiaM101Binary\include\private                                                                                                                                                                 |         62 |      7,430 |      2,100 |      1,875 |     11,405 |
| third\SkiaM101Binary\include\private (Files)                                                                                                                                                         |         60 |      7,315 |      2,034 |      1,831 |     11,180 |
| third\SkiaM101Binary\include\private\chromium                                                                                                                                                        |          2 |        115 |         66 |         44 |        225 |
| third\SkiaM101Binary\include\sksl                                                                                                                                                                    |         17 |      1,217 |        539 |        557 |      2,313 |
| third\SkiaM101Binary\include\svg                                                                                                                                                                     |          1 |         17 |         17 |          8 |         42 |
